School,Nickname,City,State/Province,Conference,Note
Chowan University,Hawks,Murfreesboro,North Carolina,Conference Carolinas,
Christian Brothers University,Buccaneers,Memphis,Tennessee,Gulf South Conference,
Clayton State University,Lakers,Morrow,Georgia,Peach Belt Conference,
Coker University,Cobras,Hartsville,South Carolina,South Atlantic Conference,
Colorado Christian University,Cougars,Lakewood,Colorado,Rocky Mountain Athletic Conference,
Colorado Mesa University,Mavericks,Grand Junction,Colorado,Rocky Mountain Athletic Conference,
Colorado School of Mines,Orediggers,Golden,Colorado,Rocky Mountain Athletic Conference,
Colorado State University–Pueblo,ThunderWolves,Pueblo,Colorado,Rocky Mountain Athletic Conference,
University of Colorado Colorado Springs (UCCS),Mountain Lions,Colorado Springs,Colorado,Rocky Mountain Athletic Conference,
Concord University,Mountain Lions,Athens,West Virginia,Mountain East Conference,
Concordia University–Irvine,Eagles,Irvine,California,Pacific West Conference,
Converse University,Valkyries,Spartanburg,South Carolina,Conference Carolinas,
Daemen University,Wildcats,Amherst,New York,East Coast Conference,
Dallas Baptist University,Patriots,Dallas,Texas,Lone Star Conference,
Davenport University,Panthers,Grand Rapids,Michigan,Great Lakes Intercollegiate Athletic Conference,
Davis & Elkins College,Senators,Elkins,West Virginia,Mountain East Conference,
Delta State University,Statesmen,Cleveland,Mississippi,Gulf South Conference,
University of the District of Columbia,Firebirds,Washington,District of Columbia,East Coast Conference,
Dominican University of California,Penguins,San Rafael,California,Pacific West Conference,
Dominican University New York,Chargers,Orangeburg,New York,Central Atlantic Collegiate Conference,
Drury University,Panthers,Springfield,Missouri,Great Lakes Valley Conference,
D'Youville University,Saints,Buffalo,New York,East Coast Conference,
East Stroudsburg University of Pennsylvania,Warriors,East Stroudsburg,Pennsylvania,Pennsylvania State Athletic Conference,
Eastern New Mexico University,Greyhounds,Portales,New Mexico,Lone Star Conference,
Eckerd College,Tritons,St. Petersburg,Florida,Sunshine State Conference,
Embry–Riddle Aeronautical University,Eagles,Daytona Beach,Florida,Sunshine State Conference,
Emmanuel College,Lions,Franklin Springs,Georgia,Conference Carolinas,
Emory and Henry College,Wasps,Emory,Virginia,South Atlantic Conference,
Erskine College,Flying Fleet,Due West,South Carolina,Conference Carolinas,
Felician University,Golden Falcons,Rutherford,New Jersey,Central Atlantic Collegiate Conference,
University of Findlay,Oilers,Findlay,Ohio,Great Midwest Athletic Conference,
Flagler College,Saints,St. Augustine,Florida,Peach Belt Conference,
Florida Southern College,Moccasins,Lakeland,Florida,Sunshine State Conference,
Florida Institute of Technology,Panthers,Melbourne,Florida,Sunshine State Conference,
Fort Hays State University,Tigers,Hays,Kansas,Great American Conference,
Fort Lewis College,Skyhawks,Durango,Colorado,Rocky Mountain Athletic Conference,
Francis Marion University,Patriots,Florence,South Carolina,Conference Carolinas,
Franklin Pierce University,Ravens,Rindge,New Hampshire,Northeast-10 Conference,
Fresno Pacific University,Sunbirds,Fresno,California,Pacific West Conference,
Frostburg State University,Bobcats,Frostburg,Maryland,Mountain East Conference,
Gannon University,Golden Knights,Erie,Pennsylvania,Pennsylvania State Athletic Conference,
Georgia Southwestern State University,Hurricanes,Americus,Georgia,Peach Belt Conference,
Georgian Court University,Lions,Lakewood,New Jersey,Central Atlantic Collegiate Conference,
Goldey–Beacom College,Lightning,Pike Creek Valley,Delaware,Central Atlantic Collegiate Conference,
Harding University,Bisons,Searcy,Arkansas,Great American Conference,
Hawai'i Pacific University,Sharks,Honolulu,Hawai'i,Pacific West Conference,
University of Hawai'i at Hilo,Vulcans,Hilo,Hawai'i,Pacific West Conference,
Holy Family University,Tigers,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,
University of Illinois at Springfield,Prairie Stars,Springfield,Illinois,Great Lakes Valley Conference,
University of Indianapolis,Greyhounds,Indianapolis,Indiana,Great Lakes Valley Conference,
Kentucky Wesleyan College,Panthers,Owensboro,Kentucky,Great Midwest Athletic Conference,
King University,Tornado,Bristol,Tennessee,Conference Carolinas,
Lake Erie College,Storm,Painesville,Ohio,Great Midwest Athletic Conference,
Lander University,Bearcats,Greenwood,South Carolina,Peach Belt Conference,
Le Moyne College,Dolphins,Syracuse,New York,Northeast-10 Conference,
Lee University,Flames,Cleveland,Tennessee,Gulf South Conference,
Lees–McRae College,Bobcats,Banner Elk,North Carolina,Conference Carolinas,
Lenoir–Rhyne University,Bears,Hickory,North Carolina,South Atlantic Conference,
Lewis University,Flyers,Romeoville,Illinois,Great Lakes Valley Conference,
Limestone University,Saints,Gaffney,South Carolina,Conference Carolinas,
Lincoln Memorial University,Railsplitters,Harrogate,Tennessee,South Atlantic Conference,
Lock Haven University of Pennsylvania,Bald Eagles,Lock Haven,Pennsylvania,Pennsylvania State Athletic Conference,
Lubbock Christian University,Chaparrals,Lubbock,Texas,Lone Star Conference,
Lynn University,Fighting Knights,Boca Raton,Florida,Sunshine State Conference,
Malone University,Pioneers,Canton,Ohio,Great Midwest Athletic Conference,
Mars Hill University,Lions,Mars Hill,North Carolina,South Atlantic Conference,
Maryville University,Saints,St. Louis,Missouri,Great Lakes Valley Conference,
McKendree University,Bearcats,Lebanon,Illinois,Great Lakes Valley Conference,
Mercy College,Mavericks,Dobbs Ferry,New York,East Coast Conference,
Mercyhurst University,Lakers,Erie,Pennsylvania,Pennsylvania State Athletic Conference,
Metropolitan State University of Denver,Roadrunners,Denver,Colorado,Rocky Mountain Athletic Conference,
Midwestern State University,Mustangs,Wichita Falls,Texas,Lone Star Conference,
Millersville University of Pennsylvania,Marauders,Millersville,Pennsylvania,Pennsylvania State Athletic Conference,
Mississippi College,Choctaws,Clinton,Mississippi,Gulf South Conference,
Missouri University of Science and Technology,Miners,Rolla,Missouri,Great Lakes Valley Conference,
University of Missouri–St. Louis,Tritons,St. Louis,Missouri,Great Lakes Valley Conference,
Molloy University,Lions,Rockville Centre,New York,East Coast Conference,
Montana State University Billings,Yellowjackets,Billings,Montana,Great Northwest Athletic Conference,
University of Montevallo,Falcons,Montevallo,Alabama,Gulf South Conference,
University of Mount Olive,Trojans,Mount Olive,North Carolina,Conference Carolinas,
University of New Haven,Chargers,West Haven,Connecticut,Northeast-10 Conference,
New York Institute of Technology,Bears,Old Westbury,New York,East Coast Conference,
Newberry College,Wolves,Newberry,South Carolina,South Atlantic Conference,
Newman University,Jets,Wichita,Kansas,Great American Conference,
University of North Georgia,Nighthawks,Dahlonega,Georgia,Peach Belt Conference,
North Greenville University,Crusaders,Tigerville,South Carolina,Conference Carolinas,
Northeastern State University,RiverHawks,Tahlequah,Oklahoma,Great American Conference,
Northern Michigan University,Wildcats,Marquette,Michigan,Great Lakes Intercollegiate Athletic Conference,
Northwest Nazarene University,Crusaders,Nampa,Idaho,Great Northwest Athletic Conference,
Northwood University,Timberwolves,Midland,Michigan,Great Midwest Athletic Conference,
Notre Dame College,Falcons,South Euclid,Ohio,Mountain East Conference,
Nova Southeastern University,Sharks,Davie,Florida,Sunshine State Conference,
Ohio Dominican University,Panthers,Columbus,Ohio,Great Midwest Athletic Conference,
Oklahoma Baptist University,Bison,Shawnee,Oklahoma,Great American Conference,
Oklahoma Christian University,Eagles,Oklahoma City,Oklahoma,Lone Star Conference,
Ouachita Baptist University,Tigers,Arkadelphia,Arkansas,Great American Conference,
Palm Beach Atlantic University,Sailfish,West Palm Beach,Florida,Sunshine State Conference,
Pennsylvania Western University California (PennWest California),Vulcans,California,Pennsylvania,Pennsylvania State Athletic Conference,
University of Pittsburgh at Johnstown,Mountain Cats,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference,
Point Loma Nazarene University,Sea Lions,San Diego,California,Pacific West Conference,
Post University,Eagles,Waterbury,Connecticut,Central Atlantic Collegiate Conference,
Purdue University Northwest,Pride,Hammond,Indiana,Great Lakes Intercollegiate Athletic Conference,
Queens College,Knights,Flushing,New York,East Coast Conference,
Quincy University,Hawks,Quincy,Illinois,Great Lakes Valley Conference,
Regis University,Rangers,Denver,Colorado,Rocky Mountain Athletic Conference,
Roberts Wesleyan College,Redhawks,North Chili,New York,East Coast Conference,
Rockhurst University,Hawks,Kansas City,Missouri,Great Lakes Valley Conference,
Rogers State University,Hillcats,Claremore,Oklahoma,Great American Conference,
Rollins College,Tars,Winter Park,Florida,Sunshine State Conference,
Saginaw Valley State University,Cardinals,University Center,Michigan,Great Lakes Intercollegiate Athletic Conference,
Saint Anselm College,Hawks,Goffstown,New Hampshire,Northeast-10 Conference,
St. Cloud State University,Huskies,St. Cloud,Minnesota,Northern Sun Intercollegiate Conference,
Saint Leo University,Lions,St. Leo,Florida,Sunshine State Conference,
Saint Martin's University,Saints,Lacey,Washington,Great Northwest Athletic Conference,
St. Mary's University,Rattlers,San Antonio,Texas,Lone Star Conference,
Saint Michael's College,Purple Knights,Colchester,Vermont,Northeast-10 Conference,
College of Saint Rose,Golden Knights,Albany,New York,Northeast-10 Conference,
St. Thomas Aquinas College,Spartans,Sparkill,New York,East Coast Conference,
Salem University,Tigers,Salem,West Virginia,Independent,
San Francisco State University,Gators,San Francisco,California,California Collegiate Athletic Association,
Seattle Pacific University,Falcons,Seattle,Washington,Great Northwest Athletic Conference,
Seton Hill University,Griffins,Greensburg,Pennsylvania,Pennsylvania State Athletic Conference,
Shaw University,Bears,Raleigh,North Carolina,Independent,
Shepherd University,Rams,Shepherdstown,West Virginia,Pennsylvania State Athletic Conference,
Shippensburg University of Pennsylvania,Red Raiders,Shippensburg,Pennsylvania,Pennsylvania State Athletic Conference,
Shorter University,Hawks,Rome,Georgia,Gulf South Conference,
Simon Fraser University,Red Leafs,Burnaby,British Columbia,Great Northwest Athletic Conference,
Slippery Rock University of Pennsylvania,The Rock,Slippery Rock,Pennsylvania,Pennsylvania State Athletic Conference,
Sonoma State University,Seawolves,Rohnert Park,California,California Collegiate Athletic Association,
University of South Carolina Aiken,Pacers,Aiken,South Carolina,Peach Belt Conference,
South Dakota School of Mines and Technology,Hardrockers,Rapid City,South Dakota,Rocky Mountain Athletic Conference,
Southern Connecticut State University,Fighting Owls,New Haven,Connecticut,Northeast-10 Conference,
Southern Nazarene University,Crimson Storm,Bethany,Oklahoma,Great American Conference,
Southern New Hampshire University,Penmen,Manchester,New Hampshire,Northeast-10 Conference,
Southern Wesleyan University,Warriors,Central,South Carolina,Conference Carolinas,
Southwest Baptist University,Bearcats,Bolivar,Missouri,Great Lakes Valley Conference,
Spring Hill College,Badgers,Mobile,Alabama,Gulf South Conference,
College of Staten Island,Dolphins,Staten Island,New York,East Coast Conference,
University of Tampa,Spartans,Tampa,Florida,Sunshine State Conference,
Texas A&M International University,Dustdevils,Laredo,Texas,Lone Star Conference,
University of Texas Permian Basin,Falcons,Odessa,Texas,Lone Star Conference,
University of Texas at Tyler,Patriots,Tyler,Texas,Lone Star Conference,
Thomas Jefferson University (Jefferson),Rams,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,
Thomas More University,Saints,Crestview Hills,Kentucky,Great Midwest Athletic Conference,
Tiffin University,Dragons,Tiffin,Ohio,Great Midwest Athletic Conference,
Trevecca Nazarene University,Trojans,Nashville,Tennessee,Great Midwest Athletic Conference,
Truman State University,Bulldogs,Kirksville,Missouri,Great Lakes Valley Conference,
Tusculum College,Pioneers,Greeneville,Tennessee,South Atlantic Conference,
Union University,Bulldogs,Jackson,Tennessee,Gulf South Conference,
Upper Iowa University,Peacocks,Fayette,Iowa,Great Lakes Valley Conference,
Walsh University,Cavaliers,North Canton,Ohio,Great Midwest Athletic Conference,
University of West Alabama,Tigers,Livingston,Alabama,Gulf South Conference,
West Chester University,Golden Rams,West Chester,Pennsylvania,Pennsylvania State Athletic Conference,
University of West Florida,Argonauts,Pensacola,Florida,Gulf South Conference,
West Liberty University,Hilltoppers,West Liberty,West Virginia,Mountain East Conference,
West Texas A&M University,Buffaloes,Canyon,Texas,Lone Star Conference,
West Virginia Wesleyan College,Bobcats,Buckhannon,West Virginia,Mountain East Conference,
Western Washington University,Vikings,Bellingham,Washington,Great Northwest Athletic Conference,
Westminster College,Griffins,Salt Lake City,Utah,Rocky Mountain Athletic Conference,
Westmont College,Warriors,Santa Barbara,California,Pacific West Conference,
Wheeling University,Cardinals,Wheeling,West Virginia,Mountain East Conference,
William Jewell College,Cardinals,Liberty,Missouri,Great Lakes Valley Conference,
Wilmington University,Wildcats,New Castle,Delaware,Central Atlantic Collegiate Conference,
Wingate University,Bulldogs,Wingate,North Carolina,South Atlantic Conference,
University of Wisconsin–Parkside (Parkside),Rangers,Kenosha,Wisconsin,Great Lakes Valley Conference,
Young Harris College,Mountain Lions,Young Harris,Georgia,Conference Carolinas,
