School,City,State,Conference,Division,StateCode
Missouri State University,Springfield,Missouri,Missouri Valley Conference,D1,MO
Northern Illinois University,DeKalb,Illinois,Missouri Valley Conference,D1,IL
Southern Illinois University Edwardsville,Edwardsville,Illinois,Missouri Valley Conference,D1,IL
University of Illinois Chicago,Chicago,Illinois,Missouri Valley Conference,D1,IL
Western Michigan University,Kalamazoo,Michigan,Missouri Valley Conference,D1,MI
Central Connecticut State University,New Britain,Connecticut,Northeast Conference,D1,CT
Fairleigh Dickinson University,Madison & Florham Park,New Jersey,Northeast Conference,D1,NJ
Howard University,Washington,District of Columbia,Northeast Conference,D1,DC
Long Island University,Brookville,New York,Northeast Conference,D1,NY
Merrimack College,North Andover,Massachusetts,Northeast Conference,D1,MA
Sacred Heart University,Fairfield,Connecticut,Northeast Conference,D1,CT
St. Francis College,"Brooklyn, New York City",New York,Northeast Conference,D1,NY
Saint Francis University,Loretto,Pennsylvania,Northeast Conference,D1,PA
Stonehill College,Easton,Massachusetts,Northeast Conference,D1,MA
"University of California, Berkeley",Berkeley,California,Pac-12 Conference,D1,CA
Oregon State University,Corvallis,Oregon,Pac-12 Conference,D1,OR
San Diego State University,San Diego,California,Pac-12 Conference,D1,CA
Stanford University,Stanford,California,Pac-12 Conference,D1,CA
"University of California, Los Angeles",Los Angeles,California,Pac-12 Conference,D1,CA
University of Washington,Seattle,Washington,Pac-12 Conference,D1,WA
American University,Washington,District of Columbia,Patriot League,D1,DC
United States Military Academy,West Point,New York,Patriot League,D1,NY
Boston University,Boston,Massachusetts,Patriot League,D1,MA
Bucknell University,Lewisburg,Pennsylvania,Patriot League,D1,PA
Colgate University,Hamilton,New York,Patriot League,D1,NY
College of the Holy Cross,Worcester,Massachusetts,Patriot League,D1,MA
Lafayette College,Easton,Pennsylvania,Patriot League,D1,PA
Lehigh University,Bethlehem,Pennsylvania,Patriot League,D1,PA
Loyola University Maryland,Baltimore,Maryland,Patriot League,D1,MD
United States Naval Academy,Annapolis,Maryland,Patriot League,D1,MD
East Tennessee State University,Johnson City,Tennessee,Southern Conference,D1,TN
Furman University,Greenville,South Carolina,Southern Conference,D1,SC
Mercer University,Macon,Georgia,Southern Conference,D1,GA
University of North Carolina at Greensboro,Greensboro,North Carolina,Southern Conference,D1,NC
Virginia Military Institute,Lexington,Virginia,Southern Conference,D1,VA
Wofford College,Spartanburg,South Carolina,Southern Conference,D1,SC
University of Denver,Denver,Colorado,The Summit League,D1,CO
Eastern Illinois University,Charleston,Illinois,The Summit League,D1,IL
University of Missouri–Kansas City,Kansas City,Missouri,The Summit League,D1,MO
Lindenwood University,St. Charles,Missouri,The Summit League,D1,MO
University of Nebraska Omaha,Omaha,Nebraska,The Summit League,D1,NE
Oral Roberts University,Tulsa,Oklahoma,The Summit League,D1,OK
University of St. Thomas,Saint Paul,Minnesota,The Summit League,D1,MN
University of Southern Indiana,Evansville,Indiana,The Summit League,D1,IN
Western Illinois University,Macomb,Illinois,The Summit League,D1,IL
Coastal Carolina University,Conway,South Carolina,Sun Belt Conference,D1,SC
Georgia Southern University,Statesboro,Georgia,Sun Belt Conference,D1,GA
Georgia State University,Atlanta,Georgia,Sun Belt Conference,D1,GA
James Madison University,Harrisonburg,Virginia,Sun Belt Conference,D1,VA
University of Kentucky,Lexington,Kentucky,Sun Belt Conference,D1,KY
Marshall University,Huntington,West Virginia,Sun Belt Conference,D1,WV
Old Dominion University,Norfolk,Virginia,Sun Belt Conference,D1,VA
University of South Carolina,Columbia,South Carolina,Sun Belt Conference,D1,SC
West Virginia University,Morgantown,West Virginia,Sun Belt Conference,D1,WV
Gonzaga University,Spokane,Washington,West Coast Conference,D1,WA
Loyola Marymount University,Los Angeles,California,West Coast Conference,D1,CA
University of the Pacific,Stockton,California,West Coast Conference,D1,CA
University of Portland,Portland,Oregon,West Coast Conference,D1,OR
Saint Mary's College of California,Moraga,California,West Coast Conference,D1,CA
University of San Diego,San Diego,California,West Coast Conference,D1,CA
University of San Francisco,San Francisco,California,West Coast Conference,D1,CA
Santa Clara University,Santa Clara,California,West Coast Conference,D1,CA
United States Air Force Academy,Colorado Springs,Colorado,Western Athletic Conference,D1,CO
California Baptist University,Riverside,California,Western Athletic Conference,D1,CA
Grand Canyon University,Phoenix,Arizona,Western Athletic Conference,D1,AZ
Houston Christian University,Houston,Texas,Western Athletic Conference,D1,TX
San Jose State University,San Jose,California,Western Athletic Conference,D1,CA
Seattle University,Seattle,Washington,Western Athletic Conference,D1,WA
"University of Nevada, Las Vegas",Paradise,Nevada,Western Athletic Conference,D1,NV
Utah Tech University,St. George,Utah,Western Athletic Conference,D1,UT
Utah Valley University,Orem,Utah,Western Athletic Conference,D1,UT
University of Texas Rio Grande Valley,Edinburg,Texas,Western Athletic Conference,D1,TX
Academy of Art University,San Francisco,California,Pacific West Conference,D2,CA
Adams State University,Alamosa,Colorado,Rocky Mountain Athletic Conference,D2,CO
Adelphi University,Garden City,New York,Northeast-10 Conference,D2,NY
University of Alabama in Huntsville,Huntsville,Alabama,Gulf South Conference,D2,AL
Alderson Broaddus University,Philippi,West Virginia,Mountain East Conference,D2,WV
Alliance University,Manhattan,New York,Central Atlantic Collegiate Conference,D2,NY
American International College,Springfield,Massachusetts,Northeast-10 Conference,D2,MA
Anderson University,Anderson,South Carolina,South Atlantic Conference,D2,SC
Ashland University,Ashland,Ohio,Great Midwest Athletic Conference,D2,OH
Assumption University,Worcester,Massachusetts,Northeast-10 Conference,D2,MA
Auburn University at Montgomery,Montgomery,Alabama,Gulf South Conference,D2,AL
Azusa Pacific University,Azusa,California,Pacific West Conference,D2,CA
Barry University,Miami Shores,Florida,Sunshine State Conference,D2,FL
Barton College,Wilson,North Carolina,Conference Carolinas,D2,NC
Belmont Abbey College,Belmont,North Carolina,Conference Carolinas,D2,NC
Bentley University,Waltham,Massachusetts,Northeast-10 Conference,D2,MA
Biola University,La Mirada,California,Pacific West Conference,D2,CA
Bloomfield College,Bloomfield,New Jersey,Central Atlantic Collegiate Conference,D2,NJ
Bloomsburg University of Pennsylvania,Bloomsburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
University of Bridgeport,Bridgeport,Connecticut,Central Atlantic Collegiate Conference,D2,CT
Caldwell University,Caldwell,New Jersey,Central Atlantic Collegiate Conference,D2,NJ
"California State Polytechnic University, Humboldt",Arcata,California,California Collegiate Athletic Association,D2,CA
"California State Polytechnic University, Pomona",Pomona,California,California Collegiate Athletic Association,D2,CA
"California State University, Chico",Chico,California,California Collegiate Athletic Association,D2,CA
"California State University, Dominguez Hills",Carson,California,California Collegiate Athletic Association,D2,CA
"California State University, East Bay",Hayward,California,California Collegiate Athletic Association,D2,CA
"California State University, Los Angeles",Los Angeles,California,California Collegiate Athletic Association,D2,CA
"California State University, Monterey Bay",Seaside,California,California Collegiate Athletic Association,D2,CA
"California State University, San Bernardino",San Bernardino,California,California Collegiate Athletic Association,D2,CA
California State University San Marcos,San Marcos,California,California Collegiate Athletic Association,D2,CA
"California State University, Stanislaus",Turlock,California,California Collegiate Athletic Association,D2,CA
Carson–Newman University,Jefferson City,Tennessee,South Atlantic Conference,D2,TN
Catawba College,Salisbury,North Carolina,South Atlantic Conference,D2,NC
Cedarville University,Cedarville,Ohio,Great Midwest Athletic Conference,D2,OH
Chaminade University of Honolulu,Honolulu,Hawai'i,Pacific West Conference,D2,
University of Charleston,Charleston,West Virginia,Mountain East Conference,D2,WV
Chestnut Hill College,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,D2,PA
Chowan University,Murfreesboro,North Carolina,Conference Carolinas,D2,NC
Christian Brothers University,Memphis,Tennessee,Gulf South Conference,D2,TN
Clayton State University,Morrow,Georgia,Peach Belt Conference,D2,GA
Coker University,Hartsville,South Carolina,South Atlantic Conference,D2,SC
Colorado Christian University,Lakewood,Colorado,Rocky Mountain Athletic Conference,D2,CO
Colorado Mesa University,Grand Junction,Colorado,Rocky Mountain Athletic Conference,D2,CO
Colorado School of Mines,Golden,Colorado,Rocky Mountain Athletic Conference,D2,CO
Colorado State University–Pueblo,Pueblo,Colorado,Rocky Mountain Athletic Conference,D2,CO
University of Colorado Colorado Springs,Colorado Springs,Colorado,Rocky Mountain Athletic Conference,D2,CO
Concord University,Athens,West Virginia,Mountain East Conference,D2,WV
Concordia University–Irvine,Irvine,California,Pacific West Conference,D2,CA
Converse University,Spartanburg,South Carolina,Conference Carolinas,D2,SC
Daemen University,Amherst,New York,East Coast Conference,D2,NY
Dallas Baptist University,Dallas,Texas,Lone Star Conference,D2,TX
Davenport University,Grand Rapids,Michigan,Great Lakes Intercollegiate Athletic Conference,D2,MI
Davis & Elkins College,Elkins,West Virginia,Mountain East Conference,D2,WV
Delta State University,Cleveland,Mississippi,Gulf South Conference,D2,MS
University of the District of Columbia,Washington,District of Columbia,East Coast Conference,D2,DC
Dominican University of California,San Rafael,California,Pacific West Conference,D2,CA
Dominican University New York,Orangeburg,New York,Central Atlantic Collegiate Conference,D2,NY
Drury University,Springfield,Missouri,Great Lakes Valley Conference,D2,MO
D'Youville University,Buffalo,New York,East Coast Conference,D2,NY
East Stroudsburg University of Pennsylvania,East Stroudsburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Eastern New Mexico University,Portales,New Mexico,Lone Star Conference,D2,NM
Eckerd College,St. Petersburg,Florida,Sunshine State Conference,D2,FL
Embry–Riddle Aeronautical University,Daytona Beach,Florida,Sunshine State Conference,D2,FL
Emmanuel College,Franklin Springs,Georgia,Conference Carolinas,D2,GA
Emory and Henry College,Emory,Virginia,South Atlantic Conference,D2,VA
Erskine College,Due West,South Carolina,Conference Carolinas,D2,SC
Felician University,Rutherford,New Jersey,Central Atlantic Collegiate Conference,D2,NJ
University of Findlay,Findlay,Ohio,Great Midwest Athletic Conference,D2,OH
Flagler College,St. Augustine,Florida,Peach Belt Conference,D2,FL
Florida Southern College,Lakeland,Florida,Sunshine State Conference,D2,FL
Florida Institute of Technology,Melbourne,Florida,Sunshine State Conference,D2,FL
Fort Hays State University,Hays,Kansas,Great American Conference,D2,KS
Fort Lewis College,Durango,Colorado,Rocky Mountain Athletic Conference,D2,CO
Francis Marion University,Florence,South Carolina,Conference Carolinas,D2,SC
Franklin Pierce University,Rindge,New Hampshire,Northeast-10 Conference,D2,NH
Fresno Pacific University,Fresno,California,Pacific West Conference,D2,CA
Frostburg State University,Frostburg,Maryland,Mountain East Conference,D2,MD
Gannon University,Erie,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Georgia Southwestern State University,Americus,Georgia,Peach Belt Conference,D2,GA
Georgian Court University,Lakewood,New Jersey,Central Atlantic Collegiate Conference,D2,NJ
Goldey–Beacom College,Pike Creek Valley,Delaware,Central Atlantic Collegiate Conference,D2,DE
Harding University,Searcy,Arkansas,Great American Conference,D2,AR
Hawai'i Pacific University,Honolulu,Hawai'i,Pacific West Conference,D2,
University of Hawai'i at Hilo,Hilo,Hawai'i,Pacific West Conference,D2,
Holy Family University,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,D2,PA
University of Illinois at Springfield,Springfield,Illinois,Great Lakes Valley Conference,D2,IL
University of Indianapolis,Indianapolis,Indiana,Great Lakes Valley Conference,D2,IN
Kentucky Wesleyan College,Owensboro,Kentucky,Great Midwest Athletic Conference,D2,KY
King University,Bristol,Tennessee,Conference Carolinas,D2,TN
Lake Erie College,Painesville,Ohio,Great Midwest Athletic Conference,D2,OH
Lander University,Greenwood,South Carolina,Peach Belt Conference,D2,SC
Le Moyne College,Syracuse,New York,Northeast-10 Conference,D2,NY
Lee University,Cleveland,Tennessee,Gulf South Conference,D2,TN
Lees–McRae College,Banner Elk,North Carolina,Conference Carolinas,D2,NC
Lenoir–Rhyne University,Hickory,North Carolina,South Atlantic Conference,D2,NC
Lewis University,Romeoville,Illinois,Great Lakes Valley Conference,D2,IL
Limestone University,Gaffney,South Carolina,Conference Carolinas,D2,SC
Lincoln Memorial University,Harrogate,Tennessee,South Atlantic Conference,D2,TN
Lock Haven University of Pennsylvania,Lock Haven,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Lubbock Christian University,Lubbock,Texas,Lone Star Conference,D2,TX
Lynn University,Boca Raton,Florida,Sunshine State Conference,D2,FL
Malone University,Canton,Ohio,Great Midwest Athletic Conference,D2,OH
Mars Hill University,Mars Hill,North Carolina,South Atlantic Conference,D2,NC
Maryville University,St. Louis,Missouri,Great Lakes Valley Conference,D2,MO
McKendree University,Lebanon,Illinois,Great Lakes Valley Conference,D2,IL
Mercy College,Dobbs Ferry,New York,East Coast Conference,D2,NY
Mercyhurst University,Erie,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Metropolitan State University of Denver,Denver,Colorado,Rocky Mountain Athletic Conference,D2,CO
Midwestern State University,Wichita Falls,Texas,Lone Star Conference,D2,TX
Millersville University of Pennsylvania,Millersville,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Mississippi College,Clinton,Mississippi,Gulf South Conference,D2,MS
Missouri University of Science and Technology,Rolla,Missouri,Great Lakes Valley Conference,D2,MO
University of Missouri–St. Louis,St. Louis,Missouri,Great Lakes Valley Conference,D2,MO
Molloy University,Rockville Centre,New York,East Coast Conference,D2,NY
Montana State University Billings,Billings,Montana,Great Northwest Athletic Conference,D2,MT
University of Montevallo,Montevallo,Alabama,Gulf South Conference,D2,AL
University of Mount Olive,Mount Olive,North Carolina,Conference Carolinas,D2,NC
University of New Haven,West Haven,Connecticut,Northeast-10 Conference,D2,CT
New York Institute of Technology,Old Westbury,New York,East Coast Conference,D2,NY
Newberry College,Newberry,South Carolina,South Atlantic Conference,D2,SC
Newman University,Wichita,Kansas,Great American Conference,D2,KS
University of North Georgia,Dahlonega,Georgia,Peach Belt Conference,D2,GA
North Greenville University,Tigerville,South Carolina,Conference Carolinas,D2,SC
Northeastern State University,Tahlequah,Oklahoma,Great American Conference,D2,OK
Northern Michigan University,Marquette,Michigan,Great Lakes Intercollegiate Athletic Conference,D2,MI
Northwest Nazarene University,Nampa,Idaho,Great Northwest Athletic Conference,D2,ID
Northwood University,Midland,Michigan,Great Midwest Athletic Conference,D2,MI
Notre Dame College,South Euclid,Ohio,Mountain East Conference,D2,OH
Nova Southeastern University,Davie,Florida,Sunshine State Conference,D2,FL
Ohio Dominican University,Columbus,Ohio,Great Midwest Athletic Conference,D2,OH
Oklahoma Baptist University,Shawnee,Oklahoma,Great American Conference,D2,OK
Oklahoma Christian University,Oklahoma City,Oklahoma,Lone Star Conference,D2,OK
Ouachita Baptist University,Arkadelphia,Arkansas,Great American Conference,D2,AR
Palm Beach Atlantic University,West Palm Beach,Florida,Sunshine State Conference,D2,FL
Pennsylvania Western University California,California,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
University of Pittsburgh at Johnstown,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Point Loma Nazarene University,San Diego,California,Pacific West Conference,D2,CA
Post University,Waterbury,Connecticut,Central Atlantic Collegiate Conference,D2,CT
Purdue University Northwest,Hammond,Indiana,Great Lakes Intercollegiate Athletic Conference,D2,IN
Queens College,Flushing,New York,East Coast Conference,D2,NY
Quincy University,Quincy,Illinois,Great Lakes Valley Conference,D2,IL
Regis University,Denver,Colorado,Rocky Mountain Athletic Conference,D2,CO
Roberts Wesleyan College,North Chili,New York,East Coast Conference,D2,NY
Rockhurst University,Kansas City,Missouri,Great Lakes Valley Conference,D2,MO
Rogers State University,Claremore,Oklahoma,Great American Conference,D2,OK
Rollins College,Winter Park,Florida,Sunshine State Conference,D2,FL
Saginaw Valley State University,University Center,Michigan,Great Lakes Intercollegiate Athletic Conference,D2,MI
Saint Anselm College,Goffstown,New Hampshire,Northeast-10 Conference,D2,NH
St. Cloud State University,St. Cloud,Minnesota,Northern Sun Intercollegiate Conference,D2,MN
Saint Leo University,St. Leo,Florida,Sunshine State Conference,D2,FL
Saint Martin's University,Lacey,Washington,Great Northwest Athletic Conference,D2,WA
St. Mary's University,San Antonio,Texas,Lone Star Conference,D2,TX
Saint Michael's College,Colchester,Vermont,Northeast-10 Conference,D2,VT
College of Saint Rose,Albany,New York,Northeast-10 Conference,D2,NY
St. Thomas Aquinas College,Sparkill,New York,East Coast Conference,D2,NY
Salem University,Salem,West Virginia,Independent,D2,WV
San Francisco State University,San Francisco,California,California Collegiate Athletic Association,D2,CA
Seattle Pacific University,Seattle,Washington,Great Northwest Athletic Conference,D2,WA
Seton Hill University,Greensburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Shaw University,Raleigh,North Carolina,Independent,D2,NC
Shepherd University,Shepherdstown,West Virginia,Pennsylvania State Athletic Conference,D2,WV
Shippensburg University of Pennsylvania,Shippensburg,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Shorter University,Rome,Georgia,Gulf South Conference,D2,GA
Simon Fraser University,Burnaby,British Columbia,Great Northwest Athletic Conference,D2,
Slippery Rock University of Pennsylvania,Slippery Rock,Pennsylvania,Pennsylvania State Athletic Conference,D2,PA
Sonoma State University,Rohnert Park,California,California Collegiate Athletic Association,D2,CA
University of South Carolina Aiken,Aiken,South Carolina,Peach Belt Conference,D2,SC
South Dakota School of Mines and Technology,Rapid City,South Dakota,Rocky Mountain Athletic Conference,D2,SD
Southern Connecticut State University,New Haven,Connecticut,Northeast-10 Conference,D2,CT
Southern Nazarene University,Bethany,Oklahoma,Great American Conference,D2,OK
Southern New Hampshire University,Manchester,New Hampshire,Northeast-10 Conference,D2,NH
Southern Wesleyan University,Central,South Carolina,Conference Carolinas,D2,SC
Southwest Baptist University,Bolivar,Missouri,Great Lakes Valley Conference,D2,MO
Spring Hill College,Mobile,Alabama,Gulf South Conference,D2,AL
College of Staten Island,Staten Island,New York,East Coast Conference,D2,NY
University of Tampa,Tampa,Florida,Sunshine State Conference,D2,FL
Texas A&M International University,Laredo,Texas,Lone Star Conference,D2,TX
University of Texas Permian Basin,Odessa,Texas,Lone Star Conference,D2,TX
University of Texas at Tyler,Tyler,Texas,Lone Star Conference,D2,TX
